location,beds,price,baths,location_sector,parking,laundry,furnished
East,7,4550,2,Central,No,unit,No
East,1,450,1,Central,No,building,No
North,1,400,2,Northeast,No,building,No
East,5,2000,2,Northeast,No,unit,No
Null,1,600,1,Northwest,No,unit,No
North,1,805,1,Northeast,Yes,building,Yes
East,5,2125,2,Central,No,unit,No
North,6,2580,3,Central,No,unit,No
East,4,1720,2,Central,No,unit,No
East,3,1600,1,Central,No,building,No
East,4,1750,1,Northeast,No,unit,No
Null,5,2650,1,Central,No,building,No
East,5,2650,2,Central,No,building,No
East,2,900,1,Southeast,No,None,No
East,2,900,1,Central,No,None,No
East,2,900,1,Southeast,No,None,No
East,2,900,1,Southeast,No,None,No
East,2,900,1,Southeast,No,None,No
Null,4,1800,2,Southeast,No,building,No
Null,4,1800,2,Southeast,No,building,No
East,2,900,1,Southeast,No,unit,No
East,4,1800,2,Central,No,None,No
Null,1,450,2,Northeast,Yes,None,Yes
East,1,450,2,Northeast,Yes,building,Yes
West,3,1425,1,Northwest,No,unit,No
West,3,1425,1,Northwest,No,unit,No
West,3,1425,1,Northwest,No,unit,No
West,3,1425,1,Northwest,No,unit,No
West,1,761,1,Northwest,No,building,No
North,3,1482,1,Northeast,No,unit,No
North,3,1482,1,Northeast,No,unit,No
West,7,3465,3,Northwest,No,unit,No
Null,1,525,1,Southeast,No,building,No
West,1,650,2,Northwest,Yes,building,Yes
East,1,2000,1,Central,No,None,No
Null,4,2000,1,Southeast,No,unit,No
North,1,500,1,Central,No,building,No
North,1,525,1,Northwest,Yes,building,Yes
Null,5,2650,2,Southeast,No,None,No
Null,5,2650,2,Southeast,No,None,No
East,1,550,1,Central,Yes,None,Yes
Null,1,600,0,Southwest,Yes,unit,Yes
North,1,550,1,Northeast,No,None,No
West,1,560,1,Southwest,No,None,No
East,1,585,3,Central,No,unit,No
West,5,2975,1,Northeast,No,building,No
East,8,4600,3,Central,No,building,No
Null,1,585,1,Southwest,No,None,No
West,1,594,1,Southwest,Yes,unit,Yes
East,1,595,1,Northeast,No,None,No
Null,1,650,1,Southeast,No,building,No
