location_name_shorthand,beds,baths,price,Furnished,Parking,Laundry
East,2,1,790,Yes,Yes,building
East,2,1,850,Yes,Yes,building
West,2,2,1130,Yes,Yes,building
West,4,4,950,Yes,Yes,building
West,4,4,920,Yes,Yes,building
West,4,4,930,Yes,Yes,building
West,1,1,1450,Yes,Yes,building
West,1,1,1420,Yes,Yes,building
West,1,1,1420,Yes,Yes,building
West,3,3,945,Yes,Yes,building
West,3,3,945,Yes,Yes,building
West,3,3,945,Yes,Yes,building
Null,1,1,1295,Yes,Yes,unit
Null,1,1,1295,Yes,Yes,unit
Null,1,1,1295,Yes,Yes,unit
Null,2,2,900,Yes,Yes,unit
Null,2,2,900,Yes,Yes,unit
Null,2,2,900,Yes,Yes,unit
Null,3,3,875,Yes,Yes,unit
Null,3,3,875,Yes,Yes,unit
Null,3,3,875,Yes,Yes,unit
Null,4,4,840,Yes,Yes,unit
Null,4,4,840,Yes,Yes,unit
Null,4,4,840,Yes,Yes,unit
East,2,2,0,No,No,
East,2,2,0,No,No,
East,3,3,0,No,No,
Null,1,1,815,No,No,building
Null,2,1.5,930,No,No,building
Null,2,2,950,No,No,building
Null,2,1.5,1235,No,No,building
Null,2,1.5,1035,No,No,building
Null,2,1.5,1065,No,No,building
Null,2,1.5,1065,No,No,building
Null,3,1.5,1170,No,No,building
Null,3,2,1205,No,No,building
Null,3,2.5,1170,No,No,building
Null,3,1.5,1380,No,No,building
Null,3,2.5,1450,No,No,building
Null,Studio,1,1199,Yes,No,unit
Null,Studio,1,1359,Yes,No,unit
Null,1,1,1519,Yes,No,unit
Null,1,1,1679,Yes,No,unit
Null,2,2,979,Yes,No,unit
Null,2,2,999,Yes,No,unit
Null,3,3,999,Yes,No,unit
Null,4,4,919,Yes,No,unit
Null,4,4,929,Yes,No,unit
East,4,1,2060,No,No,
East,4,1,2060,No,No,
West,1,1,1675,Yes,Yes,building
West,1,1,1675,Yes,Yes,building
West,2,2,1290,Yes,Yes,building
West,2,2,1230,Yes,Yes,building
West,2,2,1235,Yes,Yes,building
West,2,2,1225,Yes,Yes,building
West,2,2,1190,Yes,Yes,building
West,2,2,1175,Yes,Yes,building
West,3,3,985,Yes,Yes,building
West,3,3,1045,Yes,Yes,building
West,3,3,1045,Yes,Yes,building
West,4,4,970,Yes,Yes,building
West,4,4,970,Yes,Yes,building
West,4,4,970,Yes,Yes,building
East,3,1,1550,No,Yes,building
East,3,1,1550,No,Yes,building
Null,4,2.5,1649,No,Yes,unit
Null,3,2.5,2399,No,Yes,unit
Null,1,1,774,Yes,No,building
Null,2,1,969,Yes,No,building
East,2,1,1060,No,No,building
East,Studio,1,0,No,No,
Null,4,2,1820,No,Yes,unit
Null,Studio,1,565,No,No,building
Null,Studio,1,545,No,No,building
Null,Studio,1,565,No,No,building
Null,Studio,1,595,No,No,building
Null,Studio,1,565,No,No,building
Null,Studio,1,565,No,No,building
Null,Studio,1,585,No,No,building
Null,1,1,799,No,No,building
Null,Studio,1,625,No,No,building
