,url_list
0,https://www.rentcollegepads.com/city/columbus-oh/listings/iuka-park-commons-16250
1,https://www.rentcollegepads.com/city/columbus-oh/listings/norwich-flats-20568
2,https://www.rentcollegepads.com/city/columbus-oh/listings/the-griff-18004
3,https://www.rentcollegepads.com/city/columbus-oh/listings/wilson-place-49765
4,https://www.rentcollegepads.com/city/columbus-oh/listings/the-commons-at-olentangy-15897
5,https://www.rentcollegepads.com/city/columbus-oh/listings/uncommon-columbus-37832
6,https://www.rentcollegepads.com/city/columbus-oh/listings/62-e-13th-ave-37083
7,https://www.rentcollegepads.com/city/columbus-oh/listings/the-doric-on-lane-20567
8,https://www.rentcollegepads.com/city/columbus-oh/listings/65-e-18th-ave-19178
9,https://www.rentcollegepads.com/city/columbus-oh/listings/the-summit-51728
10,https://www.rentcollegepads.com/city/columbus-oh/listings/harvard-square-apartments-15577
11,https://www.rentcollegepads.com/city/columbus-oh/listings/90-e-14th-ave-16061
12,https://www.rentcollegepads.com/city/columbus-oh/listings/80-e-14th-ave-50247
13,https://www.rentcollegepads.com/city/columbus-oh/listings/404-406-king-ave-31722
14,https://www.rentcollegepads.com/city/columbus-oh/listings/1433-highland-st-43357
15,https://www.rentcollegepads.com/city/columbus-oh/listings/2217-neil-ave-32235
16,https://www.rentcollegepads.com/city/columbus-oh/listings/122-128-w-9th-ave-49647
17,https://www.rentcollegepads.com/city/columbus-oh/listings/2252-neil-ave-31961
18,https://www.rentcollegepads.com/city/columbus-oh/listings/79-e-7th-ave-32635
19,https://www.rentcollegepads.com/city/columbus-oh/listings/52-e-17th-ave-52355
20,https://www.rentcollegepads.com/city/columbus-oh/listings/237-e-11th-ave-32495
21,https://www.rentcollegepads.com/city/columbus-oh/listings/99-chittenden-ave-49658
22,https://www.rentcollegepads.com/city/columbus-oh/listings/the-point-on-lane-49766
23,https://www.rentcollegepads.com/city/columbus-oh/listings/1689-n-4th-st-16357
24,https://www.rentcollegepads.com/city/columbus-oh/listings/301-e-17th-ave-32577
25,https://www.rentcollegepads.com/city/columbus-oh/listings/116-e-12th-ave-47669
26,https://www.rentcollegepads.com/city/columbus-oh/listings/333-e-12th-ave-50242
27,https://www.rentcollegepads.com/city/columbus-oh/listings/194-e-14th-ave-31931
28,https://www.rentcollegepads.com/city/columbus-oh/listings/161-e-13th-avenue-69805
29,https://www.rentcollegepads.com/city/columbus-oh/listings/111-e-woodruff-ave-32383
30,https://www.rentcollegepads.com/city/columbus-oh/listings/104-w-northwood-ave-32244
31,https://www.rentcollegepads.com/city/columbus-oh/listings/117-e-hudson-69817
32,https://www.rentcollegepads.com/city/columbus-oh/listings/66-e-norwich-ave-31677
33,https://www.rentcollegepads.com/city/columbus-oh/listings/151-chittenden-ave-32530
34,https://www.rentcollegepads.com/city/columbus-oh/listings/1516-summit-st-32671
35,https://www.rentcollegepads.com/city/columbus-oh/listings/4-e-norwich-ave-33967
36,https://www.rentcollegepads.com/city/columbus-oh/listings/325-e-19th-ave-47030
37,https://www.rentcollegepads.com/city/columbus-oh/listings/245-w-norwich-ave-16281
38,https://www.rentcollegepads.com/city/columbus-oh/listings/121-123-w-2nd-avenue-54652
39,https://www.rentcollegepads.com/city/columbus-oh/listings/220-e-lane-ave-31715
40,https://www.rentcollegepads.com/city/columbus-oh/listings/86-chittenden-ave-32421
41,https://www.rentcollegepads.com/city/columbus-oh/listings/1995-waldeck-ave-32568
42,https://www.rentcollegepads.com/city/columbus-oh/listings/55-57-w-9th-ave-columbus-oh-43201-47596
43,https://www.rentcollegepads.com/city/columbus-oh/listings/72-74-w-patterson-ave-16180
44,https://www.rentcollegepads.com/city/columbus-oh/listings/1707-summit-st-16182
45,https://www.rentcollegepads.com/city/columbus-oh/listings/199-e-14th-ave-50236
46,https://www.rentcollegepads.com/city/columbus-oh/listings/314-e-19th-ave-16437
47,https://www.rentcollegepads.com/city/columbus-oh/listings/69-e-frambes-ave-51523
48,https://www.rentcollegepads.com/city/columbus-oh/listings/1433-worthington-st-47567
49,https://www.rentcollegepads.com/city/columbus-oh/listings/182-buttles-avenue-62284
50,https://www.rentcollegepads.com/city/columbus-oh/listings/113-e-woodruff-ave-32372
51,https://www.rentcollegepads.com/city/columbus-oh/listings/109-e-woodruff-ave-32545
52,https://www.rentcollegepads.com/city/columbus-oh/listings/33-e.13th-ave-apt-5-31741
53,https://www.rentcollegepads.com/city/columbus-oh/listings/1369-summit-st-32693
54,https://www.rentcollegepads.com/city/columbus-oh/listings/32-38-w.-patterson-av-31750
55,https://www.rentcollegepads.com/city/columbus-oh/listings/90-e-12th-ave-32454
56,https://www.rentcollegepads.com/city/columbus-oh/listings/121-king-ave-50231
57,https://www.rentcollegepads.com/city/columbus-oh/listings/1966-n-4th-st-16453
58,https://www.rentcollegepads.com/city/columbus-oh/listings/130-e-woodruff-ave-16083
59,https://www.rentcollegepads.com/city/columbus-oh/listings/49-51-w-9th-ave-columbus-oh-43201-47595
60,https://www.rentcollegepads.com/city/columbus-oh/listings/125-w-blake-ave-16137
61,https://www.rentcollegepads.com/city/columbus-oh/listings/123-e-norwich-ave-16207
62,https://www.rentcollegepads.com/city/columbus-oh/listings/81-93-chittenden-ave-49644
63,https://www.rentcollegepads.com/city/columbus-oh/listings/50-e-11th-ave-32023
64,https://www.rentcollegepads.com/city/columbus-oh/listings/251-e-lane-ave-69796
65,https://www.rentcollegepads.com/city/columbus-oh/listings/405-e-15th-ave-32644
66,https://www.rentcollegepads.com/city/columbus-oh/listings/160-chittenden-ave-47636
67,https://www.rentcollegepads.com/city/columbus-oh/listings/686-neil-ave-69801
68,https://www.rentcollegepads.com/city/columbus-oh/listings/212-e-frambes-ave-50238
69,https://www.rentcollegepads.com/city/columbus-oh/listings/299-e-17th-ave-32474
70,https://www.rentcollegepads.com/city/columbus-oh/listings/1345-neil-ave-50233
71,https://www.rentcollegepads.com/city/columbus-oh/listings/1659-summit-st-43450
72,https://www.rentcollegepads.com/city/columbus-oh/listings/75-e-oakland-ave-16425
73,https://www.rentcollegepads.com/city/columbus-oh/listings/71-e-13th-ave-32425
74,https://www.rentcollegepads.com/city/columbus-oh/listings/431-433-e-15th-ave-16370
75,https://www.rentcollegepads.com/city/columbus-oh/listings/56-58-w-patterson-19187
76,https://www.rentcollegepads.com/city/columbus-oh/listings/1181-say-ave-32691
77,https://www.rentcollegepads.com/city/columbus-oh/listings/56-w-norwich-ave-32249
78,https://www.rentcollegepads.com/city/columbus-oh/listings/50-e-7th-ave-16146
79,https://www.rentcollegepads.com/city/columbus-oh/listings/95-e-norwich-ave-50289
80,https://www.rentcollegepads.com/city/columbus-oh/listings/194-e-11th-ave-32540
81,https://www.rentcollegepads.com/city/columbus-oh/listings/2157-2159-indianola-19181
82,https://www.rentcollegepads.com/city/columbus-oh/listings/328-e-17th-ave-32469
83,https://www.rentcollegepads.com/city/columbus-oh/listings/195-e-14th-ave-32514
84,https://www.rentcollegepads.com/city/columbus-oh/listings/88-chittenden-ave-32410
85,https://www.rentcollegepads.com/city/columbus-oh/listings/2091-summit-st-15776
86,https://www.rentcollegepads.com/city/columbus-oh/listings/21-23-w-9th-ave-columbus-oh-43201-47580
87,https://www.rentcollegepads.com/city/columbus-oh/listings/54-e-13th-ave-31732
88,https://www.rentcollegepads.com/city/columbus-oh/listings/67-mcmillen-ave-47600
89,https://www.rentcollegepads.com/city/columbus-oh/listings/68-70-chittenden-ave-49641
90,https://www.rentcollegepads.com/city/columbus-oh/listings/290-e-lane-ave-32277
91,https://www.rentcollegepads.com/city/columbus-oh/listings/1608-summit-st-47622
92,https://www.rentcollegepads.com/city/columbus-oh/listings/135-e-14th-ave-32539
93,https://www.rentcollegepads.com/city/columbus-oh/listings/1689-summit-st-16549
94,https://www.rentcollegepads.com/city/columbus-oh/listings/149-157-w.-10th-ave-columbus-oh-43201-47661
95,https://www.rentcollegepads.com/city/columbus-oh/listings/250-e-13th-ave-43395
96,https://www.rentcollegepads.com/city/columbus-oh/listings/109-chittenden-ave-47641
97,https://www.rentcollegepads.com/city/columbus-oh/listings/111-e-norwich-ave-50308
98,https://www.rentcollegepads.com/city/columbus-oh/listings/102-w-8th-ave-32394
99,https://www.rentcollegepads.com/city/columbus-oh/listings/1656-summit-st-32563
100,https://www.rentcollegepads.com/city/columbus-oh/listings/72.5-e.-14th-ave-47631
101,https://www.rentcollegepads.com/city/columbus-oh/listings/220-e-norwich-ave-32034
102,https://www.rentcollegepads.com/city/columbus-oh/listings/149-e-12th-ave-47656
103,https://www.rentcollegepads.com/city/columbus-oh/listings/141-e-12th-ave-16395
104,https://www.rentcollegepads.com/city/columbus-oh/listings/19-w-10th-ave-16240
105,https://www.rentcollegepads.com/city/columbus-oh/listings/1334-neil-ave-57190
106,https://www.rentcollegepads.com/city/columbus-oh/listings/181-w-norwich-ave-50285
107,https://www.rentcollegepads.com/city/columbus-oh/listings/2040-tuller-st-32501
108,https://www.rentcollegepads.com/city/columbus-oh/listings/153-e-12th-ave-16139
109,https://www.rentcollegepads.com/city/columbus-oh/listings/1554-highland-st-16165
110,https://www.rentcollegepads.com/city/columbus-oh/listings/54-e-18th-ave-47659
111,https://www.rentcollegepads.com/city/columbus-oh/listings/152-chittenden-ave-31726
112,https://www.rentcollegepads.com/city/columbus-oh/listings/2312-n-high-st-32388
113,https://www.rentcollegepads.com/city/columbus-oh/listings/the-wellington-35682
114,https://www.rentcollegepads.com/city/columbus-oh/listings/115-e-woodruff-ave-32536
115,https://www.rentcollegepads.com/city/columbus-oh/listings/the-view-on-pavey-square-49767
116,https://www.rentcollegepads.com/city/columbus-oh/listings/331-e.-18th-ave.-apt.-a-d-e-32450
117,https://www.rentcollegepads.com/city/columbus-oh/listings/1501-blemont-62290
118,https://www.rentcollegepads.com/city/columbus-oh/listings/214-e-norwich-ave-32067
119,https://www.rentcollegepads.com/city/columbus-oh/listings/2157-waldeck-ave-50309
120,https://www.rentcollegepads.com/city/columbus-oh/listings/96-e-woodruff-ave-32395
121,https://www.rentcollegepads.com/city/columbus-oh/listings/151-w-10th-ave-47660
122,https://www.rentcollegepads.com/city/columbus-oh/listings/2086-iuka-ave-16423
123,https://www.rentcollegepads.com/city/columbus-oh/listings/162-e-12th-ave-47616
124,https://www.rentcollegepads.com/city/columbus-oh/listings/165-e-tompkins-st-51563
125,https://www.rentcollegepads.com/city/columbus-oh/listings/1641-indianola-ave-32400
126,https://www.rentcollegepads.com/city/columbus-oh/listings/1522-indianola-ave-49645
127,https://www.rentcollegepads.com/city/columbus-oh/listings/77-mcmillen-ave-47603
128,https://www.rentcollegepads.com/city/columbus-oh/listings/1486-neil-ave-43452
129,https://www.rentcollegepads.com/city/columbus-oh/listings/323-e-18th-ave-16396
130,https://www.rentcollegepads.com/city/columbus-oh/listings/87-w-8th-ave-50248
131,https://www.rentcollegepads.com/city/columbus-oh/listings/2018-n-4th-st-16147
132,https://www.rentcollegepads.com/city/columbus-oh/listings/50-euclid-ave-32640
133,https://www.rentcollegepads.com/city/columbus-oh/listings/393-w-8th-ave-16553
134,https://www.rentcollegepads.com/city/columbus-oh/listings/39-51-chittenden-ave-49650
135,https://www.rentcollegepads.com/city/columbus-oh/listings/159-e-lane-ave-16102
136,https://www.rentcollegepads.com/city/columbus-oh/listings/1466-worthington-st-16185
137,https://www.rentcollegepads.com/city/columbus-oh/listings/1635-summit-st-32517
138,https://www.rentcollegepads.com/city/columbus-oh/listings/65-w-9th-ave-47598
139,https://www.rentcollegepads.com/city/columbus-oh/listings/102-106-w-norwich-ave-16219
140,https://www.rentcollegepads.com/city/columbus-oh/listings/267-e-15th-ave-41525
141,https://www.rentcollegepads.com/city/columbus-oh/listings/2253-neil-ave-32230
142,https://www.rentcollegepads.com/city/columbus-oh/listings/80-euclid-ave-32634
143,https://www.rentcollegepads.com/city/columbus-oh/listings/1534-1536-neil-ave-16085
144,https://www.rentcollegepads.com/city/columbus-oh/listings/230-232-w-9th-ave-16245
145,https://www.rentcollegepads.com/city/columbus-oh/listings/72-chittenden-ave-32050
146,https://www.rentcollegepads.com/city/columbus-oh/listings/52-e-woodruff-ave-47563
147,https://www.rentcollegepads.com/city/columbus-oh/listings/2232-n-high-st-47028
148,https://www.rentcollegepads.com/city/columbus-oh/listings/212-w-norwich-ave-47644
149,https://www.rentcollegepads.com/city/columbus-oh/listings/125-e-norwich-ave-50283
150,https://www.rentcollegepads.com/city/columbus-oh/listings/194-king-ave-44410
151,https://www.rentcollegepads.com/city/columbus-oh/listings/the-east-village-51731
152,https://www.rentcollegepads.com/city/columbus-oh/listings/2263-indianola-ave-47012
153,https://www.rentcollegepads.com/city/columbus-oh/listings/181-east-12th-avenue-16238
154,https://www.rentcollegepads.com/city/columbus-oh/listings/26-w-patterson-ave-16457
155,https://www.rentcollegepads.com/city/columbus-oh/listings/103-e-woodruff-ave-32546
156,https://www.rentcollegepads.com/city/columbus-oh/listings/225-e-11th-ave-32531
157,https://www.rentcollegepads.com/city/columbus-oh/listings/291-e-14th-ave-32484
158,https://www.rentcollegepads.com/city/columbus-oh/listings/115-e-12th-ave-32543
159,https://www.rentcollegepads.com/city/columbus-oh/listings/50-w-northwood-ave-16276
160,https://www.rentcollegepads.com/city/columbus-oh/listings/1366-indianola-ave-32713
161,https://www.rentcollegepads.com/city/columbus-oh/listings/75-77-w-10th-ave-16241
162,https://www.rentcollegepads.com/city/columbus-oh/listings/1373-summit-st-32676
163,https://www.rentcollegepads.com/city/columbus-oh/listings/1620-1636-indianola-ave-47625
164,https://www.rentcollegepads.com/city/columbus-oh/listings/1524-neil-ave-47572
165,https://www.rentcollegepads.com/city/columbus-oh/listings/278-e-14th-ave-32494
166,https://www.rentcollegepads.com/city/columbus-oh/listings/185-e-13th-ave-columbus-57263
167,https://www.rentcollegepads.com/city/columbus-oh/listings/1371-indianola-ave-32726
168,https://www.rentcollegepads.com/city/columbus-oh/listings/87-mcmillen-ave-47606
169,https://www.rentcollegepads.com/city/columbus-oh/listings/329-e-20th-ave-16401
170,https://www.rentcollegepads.com/city/columbus-oh/listings/140-e-11th-ave-32519
171,https://www.rentcollegepads.com/city/columbus-oh/listings/64-w-northwood-ave-32011
172,https://www.rentcollegepads.com/city/columbus-oh/listings/63-e-woodruff-ave-32428
173,https://www.rentcollegepads.com/city/columbus-oh/listings/88-92-e-norwich-ave-16200
174,https://www.rentcollegepads.com/city/columbus-oh/listings/56-e-oakland-ave-16414
175,https://www.rentcollegepads.com/city/columbus-oh/listings/5-euclid-ave-32525
176,https://www.rentcollegepads.com/city/columbus-oh/listings/85-w-3rd-ave-43346
177,https://www.rentcollegepads.com/city/columbus-oh/listings/59-e-norwich-ave-31704
178,https://www.rentcollegepads.com/city/columbus-oh/listings/320-e-17th-ave-32467
179,https://www.rentcollegepads.com/city/columbus-oh/listings/1701-1707-summit-st-16387
180,https://www.rentcollegepads.com/city/columbus-oh/listings/186-e-norwich-ave-32072
181,https://www.rentcollegepads.com/city/columbus-oh/listings/141-e.-13th-ave-69490
182,https://www.rentcollegepads.com/city/columbus-oh/listings/144-w-9th-ave-47568
183,https://www.rentcollegepads.com/city/columbus-oh/listings/2111-tuller-st-50237
184,https://www.rentcollegepads.com/city/columbus-oh/listings/1933-1935-n-4th-st-16148
185,https://www.rentcollegepads.com/city/columbus-oh/listings/88-90-w.-northwood-ave.-32245
186,https://www.rentcollegepads.com/city/columbus-oh/listings/52-euclid-ave-32639
187,https://www.rentcollegepads.com/city/columbus-oh/listings/164-e-norwich-ave-16208
188,https://www.rentcollegepads.com/city/columbus-oh/listings/75-w-9th-ave-47601
189,https://www.rentcollegepads.com/city/columbus-oh/listings/2567-indianola-ave-43409
190,https://www.rentcollegepads.com/city/columbus-oh/listings/226-w-8th-ave-43358
191,https://www.rentcollegepads.com/city/columbus-oh/listings/1320-highland-st-43441
192,https://www.rentcollegepads.com/city/columbus-oh/listings/94-e-18th-ave-47628
193,https://www.rentcollegepads.com/city/columbus-oh/listings/49-e-14th-ave-47608
