,location,beds,price,baths,half_baths
0,East,7,465.0,1,0
1,East,1,415.0,1,0
2,Null,4,400.0,1,0
3,North,1,400.0,1,0
4,East,1,400.0,1,0
5,East,5,200.0,1,0
6,Null,1,500.0,1,0
7,Null,1,440.0,1,1
8,North,1,805.0,1,0
9,East,5,420.0,1,0
10,North,6,425.0,1,0
11,East,3,515.0,1,0
12,East,4,592.5,1,0
13,Null,5,550.0,1,0
14,East,5,550.0,1,0
15,East,2,675.0,1,0
16,East,2,675.0,1,0
17,East,2,675.0,1,0
18,East,2,675.0,1,0
19,East,2,675.0,1,0
20,Null,4,625.0,1,0
21,Null,4,625.0,1,0
22,East,2,675.0,1,0
23,East,4,625.0,1,0
24,Null,1,450.0,1,2
25,East,1,450.0,1,0
26,West,3,450.0,1,0
27,West,3,450.0,1,0
28,West,3,450.0,1,0
29,West,3,450.0,1,0
30,North,3,494.0,1,0
31,North,3,494.0,1,0
32,West,7,480.0,1,0
33,West,6,367.5,1,0
34,Null,1,510.0,1,0
35,West,1,575.0,1,0
36,Null,3,550.0,1,0
37,East,1,250.0,1,1
38,Null,4,250.0,1,0
39,North,1,500.0,1,0
40,West,1,515.0,1,0
41,Null,2,273.75,1,0
42,West,1,525.0,1,0
43,East,1,525.0,1,1
44,Null,5,590.0,1,0
45,Null,5,590.0,1,0
46,East,1,550.0,1,0
47,Null,1,575.0,1,1
48,North,1,550.0,1,0
49,West,1,560.0,1,0
50,East,8,575.0,1,1
51,Null,1,585.0,1,0
52,East,1,590.0,1,0
53,East,1,590.0,1,0
54,West,1,594.0,1,0
55,East,1,595.0,1,0
56,Null,1,622.5,1,0
57,Null,1,622.5,1,0
58,North,6,596.0,1,0
59,North,1,600.0,1,0
60,West,1,600.0,1,0
61,West,1,600.0,1,0
62,North,1,600.0,1,0
63,West,1,600.0,1,0
64,Null,1,600.0,1,0
65,Null,1,605.0,1,0
66,Null,1,605.0,1,0
67,Null,1,605.0,1,0
68,Null,1,605.0,1,0
69,Null,1,550.0,1,0
70,Null,1,610.0,1,0
71,East,1,610.0,1,0
72,East,1,610.0,1,0
73,East,1,610.0,1,0
74,Null,1,613.0,1,0
75,East,1,625.0,1,0
76,Null,1,615.0,1,0
77,East,1,620.0,1,0
78,East,1,620.0,1,0
79,Null,1,620.0,1,0
80,Null,1,620.0,1,0
81,West,4,562.5,1,1
82,Null,1,625.0,1,0
83,Null,4,625.0,1,0
84,East,1,625.0,1,0
85,East,1,625.0,1,0
86,East,1,625.0,1,0
87,East,1,625.0,1,0
88,East,1,625.0,1,0
89,Null,1,625.0,1,0
90,Null,1,625.0,1,0
91,Null,1,625.0,1,0
92,Null,1,625.0,1,0
93,Null,1,675.0,1,0
94,Null,1,660.0,1,0
95,Null,1,660.0,1,0
96,Null,1,660.0,1,0
97,Null,1,660.0,1,0
98,Null,1,660.0,1,0
99,Null,1,660.0,1,0
100,Null,1,660.0,1,0
101,Null,1,660.0,1,0
102,Null,1,660.0,1,0
103,West,1,630.0,1,0
104,Null,1,630.0,1,0
105,East,1,640.0,1,0
106,Null,1,640.0,1,0
107,West,1,640.0,1,0
108,East,1,640.0,1,0
109,West,1,645.0,1,0
110,West,1,645.0,1,0
111,West,1,650.0,1,0
112,East,1,650.0,1,0
113,West,4,625.0,1,0
114,West,4,625.0,1,0
115,Null,1,650.0,1,0
116,West,1,650.0,1,0
117,Null,1,672.5,1,0
118,Null,1,672.5,1,0
119,Null,1,672.5,1,0
